Date,Symbol,Action,Price,Quantity,Value,Reason,Timestamp
2026-06-27,GVT&D,EXIT,5043.0,88,443784.0,Dropped from Conviction Universe,2026-06-27T10:26:29.894453
2026-06-27,NETWEB,EXIT,4943.7998046875,40,197751.9921875,Dropped from Conviction Universe,2026-06-27T10:26:29.896793
2026-06-27,APARINDS,EXIT,16022.0,24,384528.0,Dropped from Conviction Universe,2026-06-27T10:26:29.899786
2026-06-27,MTARTECH,EXIT,7976.5,23,183459.5,Dropped from Conviction Universe,2026-06-27T10:26:29.901915
2026-06-27,UNIVCABLES,EXIT,1216.0999755859375,80,97287.998046875,Dropped from Conviction Universe,2026-06-27T10:26:29.903927
2026-06-27,CUPID,EXIT,182.61000061035156,1164,212558.04071044922,Dropped from Conviction Universe,2026-06-27T10:26:29.906874
2026-06-27,ACMESOLAR,EXIT,357.20001220703125,233,83227.60284423828,Dropped from Conviction Universe,2026-06-27T10:26:29.909724
2026-06-27,SHILPAMED,EXIT,571.5999755859375,544,310950.38671875,Dropped from Conviction Universe,2026-06-27T10:26:29.911682
2026-06-27,CGPOWER,EXIT,942.0999755859375,283,266614.2930908203,Dropped from Conviction Universe,2026-06-27T10:26:29.913669
2026-06-27,KIRLOSENG,EXIT,2484.300048828125,200,496860.009765625,Dropped from Conviction Universe,2026-06-27T10:26:29.915094
2026-06-27,ANGELONE,EXIT,335.25,783,262500.75,Dropped from Conviction Universe,2026-06-27T10:26:29.917114
2026-06-27,J&KBANK,EXIT,158.39999389648438,1834,290505.58880615234,Dropped from Conviction Universe,2026-06-27T10:26:29.919237
2026-06-27,JINDALSAW,EXIT,260.7200012207031,1149,299567.2814025879,Dropped from Conviction Universe,2026-06-27T10:26:29.921021
2026-06-27,WOCKPHARMA,EXIT,1965.199951171875,192,377318.390625,Dropped from Conviction Universe,2026-06-27T10:26:29.923093
2026-06-27,SYRMA,EXIT,1440.5,19,27369.5,Dropped from Conviction Universe,2026-06-27T10:26:29.926408
2026-06-27,NEOGEN,EXIT,1874.800048828125,51,95614.80249023438,Dropped from Conviction Universe,2026-06-27T10:26:29.929076
2026-06-27,ZOMATO,EXIT,560.9356086149016,445,249616.34583363123,Dropped from Conviction Universe,2026-06-27T10:26:29.930715
2026-06-27,UNIPARTS,EXIT,651.8499755859375,152,99081.1962890625,Dropped from Conviction Universe,2026-06-27T16:15:22.358354
2026-06-27,PARAS,EXIT,1233.75,94,115972.5,Dropped from Conviction Universe,2026-06-27T16:15:22.362021
2026-06-27,GVT&D,EXIT,5043.0,88,443784.0,Dropped from Conviction Universe,2026-06-27T16:15:22.365262
2026-06-27,NETWEB,EXIT,4943.7998046875,40,197751.9921875,Dropped from Conviction Universe,2026-06-27T16:15:22.369398
2026-06-27,APARINDS,EXIT,16022.0,24,384528.0,Dropped from Conviction Universe,2026-06-27T16:15:22.372577
2026-06-27,SOLARINDS,EXIT,17428.0,10,174280.0,Dropped from Conviction Universe,2026-06-27T16:15:22.376534
2026-06-27,MTARTECH,EXIT,7976.5,23,183459.5,Dropped from Conviction Universe,2026-06-27T16:15:22.378856
2026-06-27,UNIVCABLES,EXIT,1216.0999755859375,80,97287.998046875,Dropped from Conviction Universe,2026-06-27T16:15:22.381196
2026-06-27,CUPID,EXIT,182.61000061035156,1164,212558.04071044922,Dropped from Conviction Universe,2026-06-27T16:15:22.384505
2026-06-27,ACMESOLAR,EXIT,357.20001220703125,233,83227.60284423828,Dropped from Conviction Universe,2026-06-27T16:15:22.389582
2026-06-27,SHILPAMED,EXIT,571.5999755859375,544,310950.38671875,Dropped from Conviction Universe,2026-06-27T16:15:22.393583
2026-06-27,CGPOWER,EXIT,942.0999755859375,283,266614.2930908203,Dropped from Conviction Universe,2026-06-27T16:15:22.396883
2026-06-27,THANGAMAYL,EXIT,5594.2001953125,15,83913.0029296875,Dropped from Conviction Universe,2026-06-27T16:15:22.400148
2026-06-27,KIRLOSENG,EXIT,2484.300048828125,200,496860.009765625,Dropped from Conviction Universe,2026-06-27T16:15:22.404357
2026-06-27,CEMPRO,EXIT,1213.4000244140625,239,290002.60583496094,Dropped from Conviction Universe,2026-06-27T16:15:22.408263
2026-06-27,BSE,EXIT,3872.10009765625,123,476268.31201171875,Dropped from Conviction Universe,2026-06-27T16:15:22.412286
2026-06-27,WELCORP,EXIT,1455.0999755859375,126,183342.59692382812,Dropped from Conviction Universe,2026-06-27T16:15:22.415771
2026-06-27,ANGELONE,EXIT,335.25,783,262500.75,Dropped from Conviction Universe,2026-06-27T16:15:22.419539
2026-06-27,J&KBANK,EXIT,158.39999389648438,1834,290505.58880615234,Dropped from Conviction Universe,2026-06-27T16:15:22.423221
2026-06-27,JINDALSAW,EXIT,260.7200012207031,1149,299567.2814025879,Dropped from Conviction Universe,2026-06-27T16:15:22.427491
2026-06-27,WOCKPHARMA,EXIT,1965.199951171875,192,377318.390625,Dropped from Conviction Universe,2026-06-27T16:15:22.430430
2026-06-27,SYRMA,EXIT,1440.5,19,27369.5,Dropped from Conviction Universe,2026-06-27T16:15:22.433019
2026-06-27,NEOGEN,EXIT,1874.800048828125,51,95614.80249023438,Dropped from Conviction Universe,2026-06-27T16:15:22.437174
2026-06-27,ZOMATO,EXIT,560.9356086149016,445,249616.34583363123,Dropped from Conviction Universe,2026-06-27T16:15:22.441410
2026-07-03,NYKAA,BUY,310.29998779296875,322,99916.59606933594,Manual Veto Add (V),2026-07-03T21:29:40.521669
